Distance (cm),Detected Intensity (photons/s)
0.0,24393139850.0
1.0101010101010102,18142028176.828297
2.0202020202020203,12966004561.858065
3.0303030303030303,9208997945.462597
4.040404040404041,6645993752.24761
5.050505050505051,4919645394.755245
6.0606060606060606,3741747211.9421625
7.070707070707071,2919104228.663671
8.080808080808081,2329420858.146406
9.090909090909092,1895879191.0291448
10.101010101010102,1569606258.139972
11.111111111111112,1318851504.249821
12.121212121212121,1122499204.6346195
13.131313131313131,966173679.1813067
14.141414141414142,839867291.5607436
15.151515151515152,736467258.9218313
16.161616161616163,650820955.1831533
17.171717171717173,579130049.859513
18.181818181818183,518549605.2415879
19.191919191919194,466917565.5608609
20.202020202020204,422568861.8893175
21.212121212121215,384205472.8194841
22.222222222222225,350804151.66835105
23.232323232323235,321549934.3819839
24.242424242424242,295787569.4341566
25.252525252525253,272985588.62689435
26.262626262626263,252709415.35865015
27.272727272727273,234601016.2423102
28.282828282828284,218363346.48545155
29.292929292929294,203748346.21049806
30.303030303030305,190547594.41027746
31.313131313131315,178584971.3154653
32.323232323232325,167710852.4082951
33.333333333333336,157797480.52138385
34.343434343434346,148735251.3987189
35.35353535353536,140429712.93174848
36.36363636363637,132799125.99034536
37.37373737373738,125772470.18033962
38.38383838383839,119287804.36546125
39.3939393939394,113290911.7877562
40.40404040404041,107734174.82003339
41.41414141414142,102575636.01876853
42.42424242424243,97778211.11363228
43.43434343434344,93309026.52546169
44.44444444444445,89138859.43364526
45.45454545454546,85241662.67590463
46.46464646464647,81594160.12812078
47.47474747474748,78175500.88254897
48.484848484848484,74966962.67321476
49.494949494949495,71951696.7054159
50.505050505050505,69114507.4218353
51.515151515151516,66441661.851155624
52.525252525252526,63920724.08933386
53.535353535353536,61540411.20206627
54.54545454545455,59290467.44142721
55.55555555555556,57161554.167177334
56.56565656565657,55145153.27362926
57.57575757575758,53233482.26307932
58.58585858585859,51419419.38949155
59.5959595959596,49696437.53192693
60.60606060606061,48058545.65439353
61.61616161616162,46500236.87448812
62.62626262626263,45016442.302429974
63.63636363636364,43602489.929842316
64.64646464646465,42254067.94724097
65.65656565656566,40967191.953649774
66.66666666666667,39738175.59395188
67.67676767676768,38563604.220628254
68.68686868686869,37440311.22951502
69.6969696969697,36365356.763815016
70.70707070707071,35336008.51960744
71.71717171717172,34349724.4192914
72.72727272727273,33404136.94819998
73.73737373737374,32497038.974513154
74.74747474747475,31626370.894238252
75.75757575757576,30790208.96160805
76.76767676767678,29986754.681790493
77.77777777777779,29214325.15672706
78.7878787878788,28471344.287693817
79.7979797979798,27756334.7486627
80.80808080808082,27067910.654406372
81.81818181818183,26404770.85542825
82.82828282828284,25765692.79929257
83.83838383838385,25149526.904293936
84.84848484848486,24555191.39726324
85.85858585858587,23981667.572244182
86.86868686868688,23427995.431288853
87.87878787878789,22893269.67265363
88.8888888888889,22376635.995026387
89.89898989898991,21877287.689755403
90.90909090909092,21394462.49567988
91.91919191919193,20927439.69369965
92.92929292929294,20475537.42044762
93.93939393939395,20038110.18234885
94.94949494949496,19614546.55326724
95.95959595959597,19204267.04027355
96.96969696969697,18806722.103779804
97.97979797979798,18421390.31935764
98.98989898989899,18047776.669749916
100.0,17685410.95673012
